rank,personName,age,finalWorth,category,countryOfCitizenship,organization,selfMade,gender,birthDate,title
50,Miriam Adelson,76,27500,Gambling & Casinos,United States,,False,F,1945-10-10,
51,Dietrich Mateschitz,77,27400,Food & Beverage,Austria,,True,M,1944-05-20,
52,Leonardo Del Vecchio & family,86,27300,Fashion & Retail,Italy,,True,M,1935-05-22,
53,Ken Griffin,53,27200,Finance & Investments,United States,Citadel LLC,True,M,1968-10-15,Founder & CEO
54,Tadashi Yanai & family,73,26100,Fashion & Retail,Japan,,True,M,1949-02-07,
55,William Lei Ding,50,25200,Technology,China,,True,M,1971-10-01,
56,Susanne Klatten,59,24300,Automotive,Germany,,False,F,1962-04-28,
56,Cyrus Poonawalla,80,24300,Healthcare,India,,False,M,1941-05-11,
56,Wang Wei,51,24300,Service,China,,True,M,1970-10-01,
59,Qin Yinglin,56,24100,Food & Beverage,China,,True,M,1965-04-17,
60,Sam Bankman-Fried,30,24000,Finance & Investments,United States,FTX,True,M,1992-03-05,Founder
61,Takemitsu Takizaki,76,23900,Manufacturing,Japan,,True,M,1945-06-10,
62,Li Shufu,58,23700,Automotive,China,,True,M,1963-06-01,
63,Emmanuel Besnier,51,23500,Food & Beverage,France,,False,M,1970-09-18,
64,R. Budi Hartono,81,23200,Finance & Investments,Indonesia,,False,M,1941-01-01,
65,Leonard Lauder,89,23100,Fashion & Retail,United States,The Estée Lauder Companies,False,M,1933-03-19,Chairman Emeritus 
66,Guillaume Pousaz,40,23000,Finance & Investments,Switzerland,,True,M,1981-08-15,
67,Iris Fontbona & family,79,22800,Metals & Mining,Chile,,False,F,1943-01-01,
67,Jack Ma,57,22800,Technology,China,Alibaba Group,True,M,1964-09-10,Founder and Executive Chairman
69,Michael Hartono,82,22300,Manufacturing,Indonesia,,False,M,1939-10-02,
70,Eric Schmidt,66,22100,Technology,United States,,True,M,1955-04-27,
71,Ray Dalio,72,22000,Finance & Investments,United States,Bridgewater Associates,True,M,1949-08-08,Founder & Co-Chief Investment Officer
71,Daniel Gilbert,60,22000,Finance & Investments,United States,,True,M,1962-01-17,
73,Thomas Frist; Jr. & family,83,21800,Healthcare,United States,,True,M,1938-08-12,
74,Masayoshi Son,64,21300,Telecom,Japan,Softbank,True,M,1957-08-11,CEO
75,Abigail Johnson,60,21200,Finance & Investments,United States,Fidelity Investments,False,F,1961-12-19,Chairman & CEO
76,Rupert Murdoch & family,91,20800,Media & Entertainment,United States,News Corp,False,M,1931-03-11,Chairman and CEO
77,Stefan Quandt,55,20700,Automotive,Germany,,False,M,1966-05-09,
78,Jensen Huang,59,20600,Technology,United States,NVIDIA,True,M,1963-02-17,CEO & President
79,Huang Shilin,55,20300,Automotive,China,,True,M,1967-01-01,
80,Thomas Peterffy,77,20100,Finance & Investments,United States,,True,M,1944-09-30,
81,Radhakishan Damani,67,20000,Fashion & Retail,India,,True,M,1955-01-01,
82,Pang Kang,66,19600,Food & Beverage,China,,True,M,1956-01-19,
83,Wang Chuanfu,56,19500,Automotive,China,,True,M,1966-02-15,
84,Reinhold Wuerth & family,86,19000,Manufacturing,Germany,,True,M,1935-04-20,
85,Theo Albrecht; Jr. & family,71,18700,Fashion & Retail,Germany,,False,M,1951-01-01,
85,Yang Huiyan & family,40,18700,Real Estate,China,,False,F,1981-09-27,
87,Vladimir Lisin,65,18400,Metals & Mining,Russia,,True,M,1956-05-07,
88,Fan Hongwei & family,55,18200,Energy,China,,True,F,1967-01-01,
89,Lakshmi Mittal,71,17900,Metals & Mining,India,ArcelorMittal (ADR),False,M,1950-06-15,Chairman and CEO
90,Andrew Forrest,60,17800,Metals & Mining,Australia,,True,M,1961-11-18,
91,Jiang Rensheng & family,68,17700,Healthcare,China,,True,M,1953-10-08,
91,Savitri Jindal & family,72,17700,Metals & Mining,India,,False,F,1950-03-20,
91,Wang Wenyin,54,17700,Metals & Mining,China,,True,M,1968-01-01,
94,Li Xiting,71,17600,Healthcare,Singapore,,True,M,1951-01-01,
94,Stefan Persson,74,17600,Fashion & Retail,Sweden,H&M - Hennes & Mauritz,False,M,1947-10-04,Chairman
96,Steve Cohen,65,17400,Finance & Investments,United States,Point72 Asset Management,True,M,1956-06-11,Founder
97,Vladimir Potanin,61,17300,Metals & Mining,Russia,,True,M,1961-01-03,
98,Harold Hamm & family,76,17200,Energy,United States,Continental Resources,True,M,1945-12-11,Chairman and CEO
99,Sun Piaoyang,63,17100,Healthcare,China,,True,M,1958-09-01,
100,Luo Liguo & family,66,17000,Manufacturing,China,,True,M,1956-03-01,
100,Peter Woo,75,17000,Real Estate,Hong Kong,,False,M,1946-09-05,
102,Gianluigi & Rafaela Aponte,81,16800,Logistics,Switzerland,,True,,1940-06-27,
103,David Tepper,64,16700,Finance & Investments,United States,Appaloosa Management,True,M,1957-09-11,President and Founder
104,Renata Kellnerova & family,54,16600,Finance & Investments,Czechia,,False,F,1967-07-04,
104,John Menard; Jr.,82,16600,Fashion & Retail,United States,Menards,True,M,1940-01-22,Entrepreneur
106,Kumar Birla,54,16500,Diversified,India,,False,M,1967-06-14,
106,Carl Icahn,86,16500,Finance & Investments,United States,Icahn Capital Management,True,M,1936-02-16,Founder
106,Hank & Doug Meijer,,16500,Fashion & Retail,United States,,False,M,,
106,Lukas Walton,35,16500,Fashion & Retail,United States,,False,M,1986-09-19,
110,Laurene Powell Jobs & family,58,16400,Technology,United States,Emerson Collective,False,F,1963-11-06,Investor; Philanthropist
111,James Ratcliffe,69,16300,Manufacturing,United Kingdom,,True,M,1953-01-01,
112,Donald Bren,89,16200,Real Estate,United States,Irvine Company,True,M,1932-05-11,Chairman
113,Xu Hang,55,16100,Healthcare,Hong Kong,,True,M,1966-05-22,
114,Lu Xiangyang,59,15700,Automotive,China,,True,M,1962-12-28,
115,Dilip Shanghvi,66,15600,Healthcare,India,,True,M,1955-10-01,
116,Wei Jianjun & family,58,15500,Automotive,China,,True,M,1964-03-01,
117,Jorge Paulo Lemann & family,82,15400,Food & Beverage,Brazil,,True,M,1939-08-26,Investor; Philanthropist
117,Eyal Ofer,71,15400,Diversified,Israel,,False,M,1950-06-02,
119,Mike Cannon-Brookes,42,15300,Technology,Australia,,True,M,1979-11-17,
119,Wu Yajun,58,15300,Real Estate,China,Longfor Group Holdings,True,F,1964-01-01,Cofounder-chair
121,Charlene de Carvalho-Heineken & family,67,15200,Food & Beverage,Netherlands,,False,F,1954-06-30,
121,Michael Platt,54,15200,Finance & Investments,United Kingdom,BlueCrest Capital Management,True,M,1968-03-18,Founder 
123,Pavel Durov,37,15100,Technology,Russia,,True,M,1984-10-10,
123,Scott Farquhar,42,15100,Technology,Australia,,True,M,1979-12-17,
125,Pallonji Mistry,92,15000,Construction & Engineering,Ireland,,False,M,1929-06-01,
126,Dang Yanbao,49,14800,Metals & Mining,China,,True,M,1973-02-01,
127,Robert Pera,44,14600,Technology,United States,Ubiquiti,True,M,1978-03-10,Chief Executive Officer
128,Donald Newhouse,92,14400,Media & Entertainment,United States,,False,M,1929-08-05,
129,Uday Kotak,63,14300,Finance & Investments,India,,True,M,1959-03-15,
130,Aliko Dangote,64,14000,Manufacturing,Nigeria,Dangote Group,True,M,1957-04-10,CEO
130,Leonid Mikhelson,66,14000,Energy,Russia,,True,M,1955-08-11,
132,Sunil Mittal & family,64,13900,Telecom,India,,True,M,1957-10-23,
133,Robert & Philip Ng,,13700,Real Estate,Singapore,,False,M,,
134,Liu Hanyuan,58,13650,Food & Beverage,China,,True,M,1964-01-01,
135,Joseph Lau,70,13600,Real Estate,Hong Kong,,True,M,1951-07-21,
135,Anders Holch Povlsen,49,13600,Fashion & Retail,Denmark,,False,M,1972-11-04,
137,Dhanin Chearavanont,82,13500,Diversified,Thailand,,False,M,1939-04-19,
138,Gong Hongjia & family,57,13200,Finance & Investments,Hong Kong,,True,M,1965-01-01,
138,Liu Yongxing,73,13200,Service,China,East Hope Group,True,M,1948-06-01,Chairman
138,Alexey Mordashov,56,13200,Metals & Mining,Russia,,True,M,1965-09-26,
138,Wang Jianlin,67,13200,Real Estate,China,Dalian Wanda Group,True,M,1954-10-01,Chairman
142,David Duffield,81,12900,Technology,United States,Workday,True,M,1940-09-21,Entrepreneur
142,Li Zhenguo & family,54,12900,Manufacturing,China,,True,M,1968-01-01,
144,Harry Triguboff,89,12800,Real Estate,Australia,,True,M,1933-03-03,
144,Zhang Zhidong,50,12800,Technology,China,,True,M,1972-01-01,
146,Chen Bang,56,12700,Healthcare,China,,True,M,1965-09-01,
146,John Doerr,70,12700,Technology,United States,Kleiner Perkins,True,M,1951-06-29,Investor
146,Hinduja brothers,,12700,Diversified,United Kingdom,,False,M,,
149,Kwong Siu-hing,92,12600,Real Estate,Hong Kong,,False,F,1929-12-02,
150,Pei Zhenhua,63,12500,Energy,China,,True,M,1959-01-01,
151,Ricardo Salinas Pliego & family,66,12400,Fashion & Retail,Mexico,,False,M,1955-10-19,
152,Jim Pattison,93,12200,Diversified,Canada,Jim Pattison Group,True,M,1928-10-01,Founder; Chairman and CEO
152,Charles Schwab,84,12200,Finance & Investments,United States,Charles Schwab,True,M,1937-07-29,Investor
154,Goh Cheng Liang,94,12100,Manufacturing,Singapore,,True,M,1927-06-27,
154,Lin Jianhua & family,59,12100,Manufacturing,China,,True,M,1962-08-01,
156,Charoen Sirivadhanabhakdi,77,12000,Food & Beverage,Thailand,,True,M,1944-05-02,
156,Jeff Yass,63,12000,Finance & Investments,United States,,True,M,1958-07-17,
158,John Fredriksen,77,11900,Logistics,Cyprus,,True,M,1945-02-01,Investor
158,Andreas Struengmann & family,72,11900,Healthcare,Germany,,True,M,1950-02-16,
158,Thomas Struengmann & family,72,11900,Healthcare,Germany,,True,M,1950-02-16,
161,Mikhail Fridman,57,11800,Energy,Russia,,True,M,1964-04-21,
161,Sarath Ratanavadi,56,11800,Energy,Thailand,,True,M,1965-07-12,
163,Robert Kuok,98,11700,Diversified,Malaysia,,True,M,1923-10-06,
163,Lei Jun,52,11700,Technology,China,Xiaomi,True,M,1969-12-16,Founder and CEO
163,Zhang Congyuan,74,11700,Fashion & Retail,Taiwan,,True,M,1948-01-01,
166,Lui Che Woo,93,11600,Gambling & Casinos,Hong Kong,,True,M,1929-04-01,
167,Brian Chesky,40,11500,Technology,United States,AirBnB,True,M,1981-08-29,CEO and Cofounder
167,Israel Englander,73,11500,Finance & Investments,United States,Millennium Management; L.L.C.,True,M,1948-09-30,Founder
167,Dustin Moskovitz,37,11500,Technology,United States,Asana,True,M,1984-05-22,Cofounder
167,Alisher Usmanov,68,11500,Metals & Mining,Russia,Metalloinvest,True,M,1953-09-09,Founder
171,Jay Chaudhry,62,11400,Technology,United States,,True,M,1959-08-26,
171,Anthony Pratt,61,11400,Manufacturing,Australia,,False,M,1960-04-11,
173,Colin Zheng Huang,42,11300,Technology,China,,True,M,1980-02-02,
173,Jin Baofang,69,11300,Energy,China,,True,M,1952-09-01,
173,Pierre Omidyar,54,11300,Technology,United States,eBay,True,M,1967-06-21,Entrepreneur
173,Gennady Timchenko,69,11300,Energy,Russia,,True,M,1952-11-09,
177,Carl Cook,59,11100,Healthcare,United States,,False,M,1962-08-19,
177,Andrey Melnichenko,50,11100,Metals & Mining,Russia,,True,M,1972-03-08,
179,Xing Wang,43,11000,Technology,China,,True,M,1979-02-18,
180,Philip Anschutz,82,10900,Finance & Investments,United States,,False,M,1939-12-28,
180,David Cheriton,71,10900,Technology,Canada,Stanford University,True,M,1951-03-29,Entrepreneur
180,Alexander Otto,54,10900,Real Estate,Germany,,False,M,1967-07-07,
183,Diane Hendricks,75,10700,Construction & Engineering,United States,ABC Supply,True,F,1947-03-02,Entrepreneur
183,Stanley Kroenke,74,10700,Sports,United States,,True,M,1947-07-29,
185,Jerry Jones,79,10600,Sports,United States,Dallas Cowboys,True,M,1942-10-13,President and General Manager
185,Quek Leng Chan,80,10600,Diversified,Malaysia,,False,M,1941-08-12,
185,Eduardo Saverin,40,10600,Technology,Brazil,Meta Platforms,True,M,1982-03-19,Investor
188,Vagit Alekperov,71,10500,Energy,Russia,,True,M,1950-09-01,
188,Richard Qiangdong Liu,48,10500,Technology,China,,True,M,1974-03-10,
188,Idan Ofer,66,10500,Diversified,Israel,,False,M,1955-10-02,
191,Melker Schorling & family,74,10400,Finance & Investments,Sweden,,True,M,1947-05-15,
192,Chase Coleman; III.,46,10300,Finance & Investments,United States,Tiger Global Management,True,M,1975-06-21,Investor
192,Shuirong Li,65,10300,Manufacturing,China,,True,M,1956-07-01,
192,Stefano Pessina,80,10300,Fashion & Retail,Monaco,,False,M,1941-06-04,
192,Mikhail Prokhorov,56,10300,Finance & Investments,Russia,Brooklyn Nets,True,M,1965-05-03,Owner
192,Marcel Herrmann Telles,72,10300,Food & Beverage,Brazil,,True,M,1950-01-01,
197,Leon Black,70,10000,Finance & Investments,United States,,True,M,1951-07-31,
197,Joe Gebbia,40,10000,Technology,United States,AirBnB,True,M,1981-08-21,Chief Product Officer & Cofounder
197,David Geffen,79,10000,Media & Entertainment,United States,DreamWorks Animation SKG Inc. (Cl A),True,M,1943-02-21,Entrepreneur
197,Yu Renrong,56,10000,Manufacturing,China,,True,M,1966-04-01,
201,Andrew Beal,69,9900,Finance & Investments,United States,,True,M,1952-11-29,
201,George Kaiser,79,9900,Energy,United States,BOK Financial,False,M,1942-07-29,Chairman
201,Qi Shi & family,52,9900,Technology,China,,True,M,1970-01-03,
201,Luis Carlos Sarmiento,89,9900,Finance & Investments,Colombia,,True,M,1933-01-27,
201,Andreas von Bechtolsheim & family,66,9900,Technology,Germany,Arista Networks,True,M,1955-09-30,Entrepreneur
206,Jan Koum,46,9800,Technology,United States,WhatsApp Inc.,True,M,1976-02-24,Entrepreneur
206,Jorge Moll Filho & family,77,9800,Healthcare,Brazil,,True,M,1945-01-01,
206,Azim Premji,76,9800,Technology,India,Wipro Limited (ADR),False,M,1945-07-24,Chairman
206,Finn Rausing,67,9800,Food & Beverage,Sweden,,False,M,1955-01-01,
206,Jorn Rausing,62,9800,Food & Beverage,Sweden,,False,M,1960-01-01,
206,Kirsten Rausing,69,9800,Food & Beverage,Sweden,,False,F,1952-06-06,
206,Wang Laisheng,57,9800,Technology,China,,True,M,1964-12-14,
213,Tom & Judy Love,,9700,Fashion & Retail,United States,Love's Travel Stops and Country Stores,True,,,Chairman and CEO
214,John Collison,31,9500,Technology,Ireland,Stripe,True,M,1990-08-06,Entrepreneur
214,Patrick Collison,33,9500,Technology,Ireland,Stripe,True,M,1988-09-09,Cofounder
214,Gordon Moore,93,9500,Technology,United States,Intel,True,M,1929-01-03,Cofounder and Chairman Emeritus
214,Wang Laichun,54,9500,Technology,China,,True,F,1967-06-03,
218,Graeme Hart,66,9400,Finance & Investments,New Zealand,,True,M,1955-06-06,
218,Zheng Shuliang & family,76,9400,Metals & Mining,China,,False,F,1946-01-01,
220,Cao Renxian,53,9300,Energy,China,,True,M,1968-07-24,
221,Nathan Blecharczyk,38,9200,Technology,United States,,True,M,1983-06-11,
221,James Dyson,74,9200,Manufacturing,United Kingdom,,True,M,1947-05-02,
223,Ivan Glasenberg,65,9100,Metals & Mining,Switzerland,,True,M,1957-01-07,
223,Kim Beom-su,56,9100,Technology,South Korea,Kakao,True,M,1966-03-27,Entrepreneur
223,Jay Y. Lee,53,9100,Diversified,South Korea,Samsung Electronics Co. Ltd.,False,M,1968-06-23,Vice Chairman
223,Liu Yonghao & family,70,9100,Service,China,,True,M,1951-09-01,
227,Ann Walton Kroenke,73,9000,Fashion & Retail,United States,,False,F,1948-12-18,
227,Li Ping,54,9000,Automotive,Hong Kong,,True,M,1968-01-01,
227,Eric Wittouck,75,9000,Finance & Investments,Belgium,,False,M,1946-10-01,
230,Ian & Richard Livingstone,,8900,Real Estate,United Kingdom,,True,M,,
230,Friedhelm Loh,75,8900,Manufacturing,Germany,,False,M,1946-08-15,
230,Xavier Niel,54,8900,Telecom,France,,True,M,1967-08-25,
230,Michael Otto,78,8900,Fashion & Retail,Germany,,False,M,1943-04-12,
230,Johann Rupert & family,71,8900,Fashion & Retail,South Africa,,False,M,1950-06-01,
235,Hui Ka Yan,63,8800,Real Estate,China,,True,M,1958-10-01,
235,Pauline MacMillan Keinath,88,8800,Food & Beverage,United States,,False,F,1934-01-01,
235,Herbert Kohler; Jr. & family,83,8800,Manufacturing,United States,Kohler Co.,False,M,1939-02-20,Executive chairman
235,Li Ge,55,8800,Healthcare,United States,,True,M,1967-01-01,
235,Kushal Pal Singh,90,8800,Real Estate,India,,False,M,1931-08-15,
235,Zong Qinghou,76,8800,Food & Beverage,China,Hangzhou Wahaha Group,True,M,1945-10-01,Chairman
241,Cai Kui,59,8700,Real Estate,China,,True,M,1963-01-01,
241,Charles Ergen,69,8700,Media & Entertainment,United States,DISH Network,True,M,1953-03-01,Founder and Chairman
241,Gao Jifan & family,57,8700,Energy,China,,True,M,1965-01-01,
241,Bernard Marcus,92,8700,Fashion & Retail,United States,The Home Depot,True,M,1929-05-12,Co-founder; ex chairman of the board
241,Nicky Oppenheimer & family,76,8700,Metals & Mining,South Africa,,False,M,1945-06-08,
246,Bajaj brothers,,8600,Diversified,India,,False,M,,
246,Ernest Garcia; II.,64,8600,Automotive,United States,,True,M,1957-05-21,
246,Paul Xiaoming Lee & family,64,8600,Manufacturing,United States,,True,M,1958-01-01,
246,George Soros,91,8600,Finance & Investments,United States,Soros Fund Management LLC,True,M,1930-08-12,Founder
246,Wang Liping & family,56,8600,Manufacturing,China,,True,M,1966-02-24,
251,Ernesto Bertarelli,56,8500,Healthcare,Switzerland,,False,M,1965-09-22,
251,Tamara Gustavson,60,8500,Service,United States,,False,F,1961-11-16,
251,Carlos Alberto Sicupira & family,74,8500,Food & Beverage,Brazil,,True,M,1948-01-01,
254,Laurent Dassault,68,8400,Diversified,France,,False,M,1953-07-07,
254,Thierry Dassault,65,8400,Diversified,France,,False,M,1957-03-26,
254,Marie-Hélène Habert-Dassault,57,8400,Diversified,France,,False,F,1965-04-04,
254,Liu Jincheng & family,57,8400,Technology,China,,True,M,1964-09-22,
254,Ma Jianrong & family,58,8400,Fashion & Retail,China,,True,M,1964-01-01,
254,Steven Rales,71,8400,Manufacturing,United States,Danaher,True,M,1951-03-31,Investor
254,Joseph Tsai,58,8400,Technology,Canada,,True,M,1964-01-19,
254,Francine von Finck & family,,8400,Finance & Investments,Germany,,False,F,,
254,Anthony von Mandl,72,8400,Food & Beverage,Canada,,True,M,1950-03-10,
263,Carl Bennet,70,8300,Finance & Investments,Sweden,,True,M,1951-08-19,
263,Robert Kraft,80,8300,Sports,United States,The Kraft Group,True,M,1941-06-05,Chairman & CEO
263,Chairul Tanjung,59,8300,Diversified,Indonesia,,True,M,1962-06-18,
263,Manuel Villar,72,8300,Real Estate,Philippines,,True,M,1949-12-13,
267,Jean-Michel Besnier,54,8200,Food & Beverage,France,,False,M,1967-06-05,
267,Marie Besnier Beauvalot,41,8200,Food & Beverage,France,,False,F,1980-07-30,
267,Gustaf Douglas,84,8200,Diversified,Sweden,,True,M,1938-03-03,
267,Kjeld Kirk Kristiansen,74,8200,Manufacturing,Denmark,,False,M,1947-12-27,
267,Sofie Kirk Kristiansen,46,8200,Manufacturing,Denmark,,False,F,1976-01-01,
267,Thomas Kirk Kristiansen,43,8200,Manufacturing,Denmark,,False,M,1979-01-01,
267,Stephen Ross,81,8200,Real Estate,United States,,True,M,1940-05-10,
267,Agnete Kirk Thinggaard,38,8200,Manufacturing,Denmark,,False,F,1983-05-18,
275,Marc Benioff,57,8100,Technology,United States,Salesforce.com,True,M,1964-09-25,Chairman and CEO
275,Dmitri Bukhman,36,8100,Media & Entertainment,Israel,,True,M,1985-05-27,
275,Igor Bukhman,40,8100,Media & Entertainment,Israel,,True,M,1982-03-29,
275,Francis Choi,74,8100,Real Estate,Hong Kong,,True,M,1947-09-18,
275,Murali Divi & family,71,8100,Healthcare,India,,True,M,1951-03-17,
275,Nancy Walton Laurie,70,8100,Fashion & Retail,United States,,False,F,1951-05-15,
275,Georg Schaeffler,57,8100,Automotive,Germany,,False,M,1964-10-19,Entrepreneur
275,Yao Liangsong,57,8100,Manufacturing,China,,True,M,1964-08-01,
275,Zhong Huijuan,61,8100,Healthcare,China,,True,F,1961-01-01,
284,Stewart & Lynda Resnick,,8000,Food & Beverage,United States,,True,,,
284,George Roberts,78,8000,Finance & Investments,United States,,True,M,1943-09-14,
284,Michael Rubin,49,8000,Fashion & Retail,United States,Kynetic,True,M,1972-07-21,Entrepreneur
284,Patrick Ryan,84,8000,Finance & Investments,United States,Ryan Specialty Group,True,M,1937-05-15,Chairman and CEO
288,Christopher Hohn,55,7900,Finance & Investments,United Kingdom,The Children's Investment Fund Management,True,M,1966-10-27,Investor
288,Marijke Mars,57,7900,Food & Beverage,United States,,False,F,1964-07-28,
288,Pamela Mars,61,7900,Food & Beverage,United States,,False,F,1960-08-01,
288,Valerie Mars,63,7900,Food & Beverage,United States,,False,F,1959-01-26,
288,Victoria Mars,65,7900,Food & Beverage,United States,,False,F,1956-12-15,
288,Hasso Plattner & family,78,7900,Technology,Germany,,True,M,1944-01-21,
288,Georg Stumpf,49,7900,Diversified,Austria,,True,M,1972-09-14,
288,Christy Walton,73,7900,Fashion & Retail,United States,Children's Scholarship Fund,False,F,1949-02-08,Co-Chair
296,Giorgio Armani,87,7800,Fashion & Retail,Italy,,True,M,1934-07-11,
296,Gopikishan Damani,64,7800,Fashion & Retail,India,,True,M,1958-01-01,
296,Ding Shizhong & family,51,7800,Fashion & Retail,China,,True,M,1970-12-01,
296,Jim Kennedy,74,7800,Media & Entertainment,United States,Cox Enterprises,False,M,1947-11-29,Chairman 
296,German Khan,60,7800,Energy,Russia,,True,M,1961-10-24,
296,Liang Wengen,65,7800,Manufacturing,China,,True,M,1956-12-14,
296,Blair Parry-Okeden,71,7800,Media & Entertainment,United States,,False,F,1950-05-21,
296,Tsai Eng-meng,65,7800,Food & Beverage,Taiwan,,False,M,1957-01-15,
304,Bajaj siblings,,7700,Automotive,India,,False,,,
304,Ashwin Dani & family,79,7700,Manufacturing,India,,False,M,1942-10-24,
304,Ding Shijia,58,7700,Fashion & Retail,China,,True,M,1964-01-01,
304,Karel Komarek,53,7700,Gambling & Casinos,Czechia,,True,M,1969-03-15,
304,Henry Kravis,78,7700,Finance & Investments,United States,KKR & Co.,True,M,1944-01-06,Co-Chair and Co-CEO
304,Frederik Paulsen,71,7700,Healthcare,Sweden,,False,M,1950-10-30,
304,Safra siblings,,7700,Finance & Investments,Brazil,,False,,,
304,Nassef Sawiris,61,7700,Construction & Engineering,Egypt,,False,M,1961-01-19,
304,Xu Shihui,64,7700,Food & Beverage,China,,True,M,1958-01-01,
313,Rahel Blocher,46,7600,Manufacturing,Switzerland,,False,F,1976-01-01,
313,Shahid Khan,71,7600,Automotive,United States,,True,M,1950-07-18,
313,Magdalena Martullo-Blocher,53,7600,Manufacturing,Switzerland,,False,F,1969-01-01,
316,Vincent Bolloré & family,70,7500,Finance & Investments,France,,False,M,1952-04-01,
316,Jeffery Hildebrand,63,7500,Energy,United States,,True,M,1959-03-05,
